,tx_id,time,inputs,outputs
0,afbf179716cc01bb797f1537a9ba164c5831d77fea2ef0fb8b4a5ee3daaf9088,2021-10-24 00:53:53,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 40000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 39987148)]"
1,d4b5708a32437426c50f77af196ef28ce0e8d5bcfcfe7aabd143b057cb6a00f3,2021-10-22 00:33:49,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 30000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 29987148)]"
2,8ba0a49d1cecf7c99cb30b4d1c92ed3b7c8b22159fdb3e330cb44d3555adf637,2021-10-19 23:56:56,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 80000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 79987148)]"
3,bf60139144e18b40ecae3ee5eb38717a80b0cf50f6d8e6dfd0f2e4eefeadb210,2021-10-18 00:01:30,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 30000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 29987148)]"
4,04aaab4b8f17bab0e1dc30ab0ee4f1db0f2a7b3c6e52eb7e6753221149f350b8,2021-10-14 00:05:14,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 40000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 39987148)]"
5,6986d881bf8f34ecc4161e81604c1bf4cc5c719bb666a50802e88eee695b708b,2021-10-13 17:16:08,"[('1EzkZJH7jsaMsAem8nc5vCsuLkuCr28oUG', 325542)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 312690)]"
6,bc93c76439dcf1169bc7b71944e0c5f21e55c6224af665b32278dd48a61a132a,2021-10-12 00:04:14,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 30000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 29987148)]"
7,ed888493945a966af2bc69d44bf6e145d6ab50a3f6b58a82afc613b5a3b614ac,2021-10-11 20:04:22,"[('1DKBmQkCNejKf4Rw3CFdAhg3HJmmZBNEeT', 230000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 217148)]"
8,ff9573513e38bd8a39b010344c93b3d1f114306ccde3325f1d6497ee9e1690b1,2021-10-09 23:56:38,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 50000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 49987148)]"
9,afd3c57a658cf2448159b3ed7663b650ca4d2a7632202515959f411907d93e46,2021-10-08 00:05:46,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 30000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 29987148)]"
10,da5fb2a3deba2fbe6d0c6db829810ef16e076d2e8af8fe1e42de4351931a776c,2021-10-07 02:08:00,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 40000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 39987148)]"
11,1619327724d9fdc926963596664cbca7e4fcb442f173db61355d90e0fdd7bc6d,2021-10-05 00:08:06,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 40000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 39987148)]"
12,afbf179716cc01bb797f1537a9ba164c5831d77fea2ef0fb8b4a5ee3daaf9088,2021-10-24 00:53:53,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 40000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 39987148)]"
13,d4b5708a32437426c50f77af196ef28ce0e8d5bcfcfe7aabd143b057cb6a00f3,2021-10-22 00:33:49,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 30000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 29987148)]"
14,8ba0a49d1cecf7c99cb30b4d1c92ed3b7c8b22159fdb3e330cb44d3555adf637,2021-10-19 23:56:56,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 80000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 79987148)]"
15,bf60139144e18b40ecae3ee5eb38717a80b0cf50f6d8e6dfd0f2e4eefeadb210,2021-10-18 00:01:30,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 30000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 29987148)]"
16,04aaab4b8f17bab0e1dc30ab0ee4f1db0f2a7b3c6e52eb7e6753221149f350b8,2021-10-14 00:05:14,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 40000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 39987148)]"
17,6986d881bf8f34ecc4161e81604c1bf4cc5c719bb666a50802e88eee695b708b,2021-10-13 17:16:08,"[('1EzkZJH7jsaMsAem8nc5vCsuLkuCr28oUG', 325542)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 312690)]"
18,bc93c76439dcf1169bc7b71944e0c5f21e55c6224af665b32278dd48a61a132a,2021-10-12 00:04:14,"[('1JCWBy8U9NFBa4tc4LtDUprtcyTUgYf91C', 30000000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 29987148)]"
19,ed888493945a966af2bc69d44bf6e145d6ab50a3f6b58a82afc613b5a3b614ac,2021-10-11 20:04:22,"[('1DKBmQkCNejKf4Rw3CFdAhg3HJmmZBNEeT', 230000)]","[('1NPvTddp5TZy2Z4iYSSo4GC5Y1QPHMBKMs', 217148)]"
